,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
16,Bosnia and Herzegovina,BIH,ECA,UM,Eastern Europe & Central Asia,Upper middle ,0.59,0.53,0.68,0.58,0.57,31,29,23,56,47,2,2,2,4,2,3,3,1,16,12,0.49,0.36,0.53,0.47,0.45,0.58,0.45,0.96,0.04,0.26,0.14,0.31,0.10,0.19,0.00,1.00,0.00,0.00,0.00,0.86,0.70,0.30,0.00,0.00,0.00,0.41,0.59,1.00,,0.00,0.41,0.45,0.83,0.35,0.49,0.42,0.72,0.65,0.52,0.70,0.31,0.73,,0.48,0.50,0.36,0.36,0.53,0.53,0.50,0.45,0.48,0.42,0.58,0.58,0.47,0.43,0.96,0.97,0.05,0.03,0.28,0.24,0.12,0.18,0.28,0.35,0.08,0.12,0.24,0.12,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.82,0.78,0.57,0.22,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.36,0.57,0.64,1.00,1.00,,,0.00,0.00,0.39,0.44,0.43,0.47,0.82,0.84,0.34,0.37,0.47,0.50,0.43,0.41,0.74,0.71,0.66,0.64,0.53,0.50,0.68,0.73,0.34,0.28,0.70,0.75,,0.48,0.49,0.36,0.37,0.53,0.53,0.46,0.49,0.43,0.47,0.55,0.61,0.47,0.44,0.96,0.96,0.05,0.04,0.12,0.47,0.20,0.06,0.40,0.18,0.08,0.12,0.20,0.18,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.72,0.58,0.92,0.42,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.38,0.58,0.62,1.00,1.00,,,0.00,0.00,0.39,0.44,0.42,0.48,0.82,0.83,0.36,0.35,0.48,0.49,0.42,0.41,0.71,0.74,0.64,0.66,0.56,0.47,0.72,0.68,0.31,0.31,0.72,0.73,
17,Botswana,BWA,AFR,UM,Sub-Saharan Africa,Upper middle ,0.57,0.44,0.49,0.72,0.63,35,60,68,24,30,2,3,5,3,3,5,17,22,2,4,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,0.86,0.95,0.87,0.91,0.90,0.94,0.87,0.88,0.92,0.83,0.92,,,,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.89,0.87,0.85,0.96,0.94,0.86,0.87,0.91,0.92,0.90,0.90,0.94,0.94,0.87,0.87,0.89,0.87,0.93,0.92,0.83,0.82,0.91,0.92,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.88,,0.96,,0.86,,0.93,,0.91,,0.95,,0.90,,0.90,,0.94,,0.86,,0.94,,
18,Brazil,BRA,LAC,UM,Latin America & Caribbean,Upper middle ,0.56,0.50,0.56,0.62,0.57,38,37,45,50,46,4,4,8,10,11,6,7,10,13,11,,0.26,,,0.55,,0.58,0.28,0.03,0.44,0.32,0.06,0.12,0.00,0.06,0.59,0.17,0.18,0.06,0.62,0.16,0.58,0.21,0.05,0.00,0.60,0.40,0.44,,0.05,0.53,0.64,0.74,0.27,0.26,0.26,0.74,0.71,0.61,0.66,0.53,0.60,,,,0.26,0.25,,,,,0.59,0.51,,,0.53,0.62,0.31,0.24,0.03,0.04,0.60,0.32,0.40,0.26,0.00,0.11,0.00,0.21,0.00,0.00,0.00,0.11,0.56,0.62,0.19,0.16,0.18,0.17,0.08,0.05,0.67,0.58,0.00,0.30,0.56,0.60,0.33,0.10,0.11,0.00,0.00,0.00,0.56,0.64,0.44,0.36,0.54,0.37,,,0.11,0.00,0.54,0.52,0.63,0.65,0.73,0.74,0.27,0.27,0.26,0.27,0.26,0.26,0.73,0.76,0.69,0.73,0.61,0.62,0.65,0.68,0.54,0.52,0.59,0.61,,,,0.26,0.30,,,,,0.56,0.50,,,0.57,0.70,0.28,0.28,0.03,0.14,0.46,0.33,0.25,0.67,0.07,0.00,0.14,0.00,0.00,0.00,0.07,0.00,0.59,0.70,0.17,0.10,0.18,0.07,0.06,0.13,0.64,0.50,0.13,0.33,0.63,0.33,0.25,0.00,0.00,0.33,0.00,0.00,0.53,1.00,0.47,0.00,0.38,0.67,,,0.06,0.00,0.53,0.50,0.64,0.60,0.73,0.85,0.27,0.32,0.26,0.32,0.26,0.15,0.74,0.82,0.71,0.70,0.62,0.50,0.67,0.65,0.53,0.52,0.60,0.67,
19,Bulgaria,BGR,EURNA,UM,EU + EFTA + North America,Upper middle ,0.54,0.43,0.58,0.62,0.53,49,66,37,46,57,22,22,22,22,23,13,22,6,11,17,0.32,0.26,0.54,0.57,0.61,0.47,0.60,0.41,0.07,0.61,0.28,0.02,0.02,0.05,0.03,0.84,0.04,0.08,0.04,0.79,0.52,0.39,0.07,0.02,0.00,0.72,0.28,0.62,,0.07,0.75,0.79,0.90,0.27,0.42,0.25,0.69,0.89,0.73,0.81,0.46,0.91,,0.32,0.33,0.25,0.27,0.52,0.57,0.53,0.60,0.57,0.64,0.45,0.49,0.63,0.57,0.44,0.38,0.06,0.07,0.67,0.57,0.26,0.30,0.00,0.03,0.00,0.03,0.04,0.05,0.04,0.03,0.81,0.87,0.05,0.04,0.09,0.06,0.05,0.03,0.74,0.82,0.41,0.59,0.53,0.30,0.00,0.11,0.06,0.00,0.00,0.00,0.75,0.70,0.25,0.30,0.59,0.63,,,0.00,0.12,0.74,0.76,0.79,0.79,0.92,0.89,0.29,0.26,0.42,0.42,0.24,0.25,0.68,0.69,0.87,0.90,0.72,0.74,0.81,0.81,0.44,0.47,0.89,0.93,,0.29,0.36,0.23,0.28,0.52,0.61,0.59,0.64,0.62,0.65,0.48,0.49,0.63,0.63,0.38,0.56,0.07,0.06,0.66,0.54,0.24,0.38,0.03,0.00,0.00,0.00,0.05,0.00,0.03,0.08,0.83,0.86,0.05,0.04,0.08,0.06,0.04,0.04,0.74,0.82,0.72,0.44,0.20,0.44,0.08,0.00,0.00,0.11,0.00,0.00,0.69,0.88,0.31,0.13,0.60,0.88,,,0.08,0.00,0.74,0.81,0.78,0.85,0.92,0.92,0.26,0.24,0.42,0.51,0.21,0.32,0.68,0.67,0.90,0.93,0.71,0.78,0.82,0.83,0.45,0.37,0.94,0.90,
20,Burkina Faso,BFA,AFR,L,Sub-Saharan Africa,Low,0.43,0.28,0.38,0.57,0.48,90,99,99,63,76,12,15,18,10,10,9,13,15,8,6,0.39,0.37,0.48,0.48,0.38,0.38,0.46,0.09,0.05,0.41,0.11,0.13,0.09,0.22,0.04,0.40,0.22,0.19,0.18,0.57,0.56,0.26,0.07,0.00,0.11,0.45,0.55,0.47,,0.07,0.63,0.67,0.81,0.47,0.34,0.31,0.73,0.56,0.46,0.50,0.38,0.75,,0.37,0.45,0.35,0.42,0.47,0.51,0.49,0.48,0.36,0.43,0.37,0.41,0.46,0.45,0.10,0.05,0.06,0.03,0.41,0.43,0.13,0.00,0.08,0.43,0.10,0.00,0.23,0.14,0.05,0.00,0.41,0.40,0.21,0.26,0.20,0.16,0.18,0.18,0.56,0.63,0.55,0.60,0.27,0.20,0.09,0.00,0.00,0.00,0.09,0.20,0.46,0.40,0.54,0.60,0.47,0.43,,,0.04,0.20,0.63,0.61,0.68,0.65,0.81,0.81,0.46,0.51,0.34,0.35,0.31,0.32,0.74,0.69,0.57,0.54,0.48,0.41,0.51,0.47,0.37,0.39,0.75,0.74,,0.44,0.27,0.43,0.22,0.56,0.33,0.49,0.46,0.40,0.32,0.39,0.37,0.53,0.33,0.08,0.11,0.06,0.03,0.45,0.38,0.06,0.25,0.13,0.25,0.10,0.00,0.19,0.13,0.06,0.00,0.48,0.26,0.23,0.19,0.15,0.27,0.14,0.27,0.70,0.44,0.71,0.00,0.14,0.50,0.05,0.25,0.00,0.00,0.10,0.25,0.57,0.00,0.43,1.00,0.53,0.13,,,0.00,0.50,0.65,0.60,0.66,0.66,0.85,0.74,0.50,0.40,0.36,0.29,0.34,0.23,0.75,0.71,0.62,0.43,0.48,0.42,0.52,0.44,0.40,0.32,0.77,0.73,
21,Cambodia,KHM,EAP,L,East Asia & Pacific,Low,0.36,0.37,0.46,0.42,0.18,98,85,75,89,102,14,13,11,11,15,13,7,3,12,15,0.74,0.39,0.67,0.66,0.56,0.56,0.68,0.23,0.21,0.98,0.01,0.01,0.00,0.00,0.00,0.79,0.17,0.03,0.01,0.82,0.22,0.33,0.20,0.18,0.08,0.90,0.10,0.62,,0.50,0.40,0.45,0.71,0.68,0.32,0.33,0.75,0.51,0.50,0.53,0.26,0.72,,0.74,0.74,0.36,0.42,0.64,0.71,0.62,0.70,0.52,0.60,0.52,0.60,0.67,0.70,0.24,0.23,0.22,0.21,0.97,0.98,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.76,0.83,0.19,0.15,0.04,0.02,0.01,0.01,0.89,0.75,0.16,0.28,0.32,0.34,0.22,0.17,0.22,0.13,0.08,0.08,0.91,0.89,0.09,0.11,0.67,0.57,,,0.56,0.42,0.40,0.41,0.45,0.45,0.70,0.72,0.65,0.72,0.29,0.35,0.30,0.35,0.73,0.77,0.49,0.53,0.48,0.53,0.52,0.53,0.22,0.31,0.70,0.73,,0.76,0.72,0.42,0.35,0.70,0.64,0.66,0.66,0.58,0.53,0.58,0.53,0.69,0.68,0.19,0.30,0.21,0.23,0.97,0.98,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.82,0.76,0.14,0.21,0.03,0.03,0.01,0.00,0.80,0.84,0.23,0.20,0.31,0.35,0.17,0.23,0.20,0.16,0.09,0.06,0.88,0.91,0.12,0.09,0.57,0.67,,,0.52,0.48,0.44,0.36,0.46,0.43,0.74,0.67,0.70,0.67,0.35,0.28,0.35,0.30,0.74,0.77,0.50,0.53,0.53,0.47,0.55,0.49,0.30,0.22,0.72,0.72,
22,Cameroon,CMR,AFR,LM,Sub-Saharan Africa,Lower middle ,0.39,0.37,0.40,0.51,0.28,95,83,93,80,99,16,8,15,14,17,24,17,22,21,25,0.43,0.28,0.68,0.59,0.56,0.48,0.55,0.34,0.22,0.43,0.13,0.09,0.07,0.28,0.01,0.59,0.11,0.23,0.07,0.64,0.37,0.34,0.22,0.03,0.03,0.60,0.40,0.63,,0.27,0.50,0.67,0.75,0.38,0.34,0.33,0.82,0.60,0.53,0.69,0.53,0.84,,0.40,0.47,0.25,0.32,0.67,0.70,0.58,0.61,0.52,0.59,0.48,0.48,0.55,0.55,0.35,0.34,0.27,0.18,0.38,0.50,0.17,0.06,0.09,0.08,0.07,0.07,0.28,0.29,0.02,0.00,0.56,0.62,0.10,0.11,0.27,0.19,0.07,0.07,0.64,0.64,0.37,0.37,0.35,0.31,0.23,0.22,0.02,0.06,0.03,0.04,0.62,0.58,0.38,0.42,0.67,0.59,,,0.29,0.24,0.47,0.53,0.68,0.65,0.73,0.78,0.35,0.40,0.31,0.37,0.30,0.35,0.83,0.82,0.60,0.59,0.54,0.52,0.70,0.68,0.52,0.54,0.86,0.82,,0.41,0.44,0.28,0.32,0.70,0.66,0.60,0.60,0.57,0.52,0.47,0.47,0.55,0.53,0.35,0.34,0.23,0.23,0.42,0.41,0.19,0.05,0.09,0.09,0.04,0.08,0.25,0.38,0.02,0.00,0.61,0.56,0.10,0.14,0.22,0.23,0.07,0.07,0.73,0.55,0.45,0.32,0.36,0.27,0.13,0.39,0.04,0.02,0.04,0.00,0.56,0.71,0.44,0.29,0.65,0.65,,,0.28,0.23,0.48,0.50,0.62,0.68,0.75,0.72,0.35,0.38,0.35,0.36,0.35,0.34,0.78,0.84,0.56,0.59,0.51,0.50,0.66,0.69,0.53,0.51,0.84,0.81,
23,Canada,CAN,EURNA,H,EU + EFTA + North America,High ,0.75,0.69,0.68,0.81,0.80,7,7,21,9,7,6,3,14,8,5,7,7,20,9,7,0.55,0.57,0.82,0.74,0.72,0.74,0.76,0.51,0.13,0.35,0.15,0.07,0.19,0.17,0.07,0.82,0.08,0.06,0.04,0.65,0.27,0.42,0.19,0.01,0.10,0.54,0.46,0.61,,,0.88,0.91,0.95,0.54,0.56,0.51,0.94,0.90,0.81,0.84,0.82,0.90,,0.57,0.54,0.59,0.55,0.80,0.83,0.74,0.74,0.72,0.72,0.74,0.74,0.78,0.75,0.58,0.44,0.12,0.14,0.34,0.35,0.27,0.06,0.05,0.08,0.15,0.23,0.17,0.18,0.02,0.10,0.79,0.84,0.08,0.08,0.07,0.05,0.06,0.03,0.60,0.69,0.31,0.24,0.35,0.46,0.23,0.17,0.04,0.00,0.08,0.12,0.58,0.52,0.42,0.48,0.70,0.55,,,,,0.90,0.87,0.91,0.92,0.96,0.94,0.56,0.52,0.57,0.55,0.53,0.49,0.93,0.95,0.91,0.89,0.84,0.79,0.88,0.81,0.83,0.81,0.89,0.90,,0.56,0.54,0.56,0.59,0.83,0.80,0.74,0.74,0.73,0.70,0.74,0.74,0.76,0.77,0.50,0.53,0.13,0.13,0.38,0.30,0.12,0.19,0.05,0.09,0.20,0.19,0.20,0.14,0.05,0.09,0.86,0.76,0.07,0.10,0.03,0.09,0.04,0.05,0.62,0.70,0.24,0.31,0.47,0.34,0.16,0.24,0.03,0.00,0.11,0.10,0.61,0.47,0.39,0.53,0.56,0.70,,,,,0.88,0.89,0.91,0.91,0.95,0.95,0.54,0.55,0.57,0.55,0.50,0.52,0.94,0.94,0.89,0.91,0.80,0.84,0.83,0.86,0.81,0.85,0.88,0.91,
24,Chile,CHL,LAC,H,Latin America & Caribbean,High ,0.68,0.54,0.69,0.73,0.76,18,26,19,21,12,1,2,1,3,2,18,24,18,20,11,0.45,0.39,0.64,0.62,0.59,0.60,0.63,0.38,0.14,0.46,0.18,0.05,0.08,0.14,0.09,0.79,0.10,0.05,0.07,0.71,0.46,0.31,0.13,0.04,0.05,0.69,0.31,0.56,,0.02,0.65,0.84,0.87,0.44,0.43,0.39,0.93,0.78,0.70,0.79,0.68,0.88,,0.44,0.46,0.40,0.38,0.65,0.63,0.62,0.63,0.59,0.59,0.59,0.60,0.64,0.63,0.43,0.32,0.15,0.13,0.41,0.52,0.19,0.16,0.05,0.05,0.08,0.08,0.16,0.11,0.10,0.08,0.78,0.80,0.09,0.11,0.05,0.04,0.08,0.05,0.75,0.65,0.41,0.54,0.36,0.24,0.12,0.15,0.05,0.02,0.05,0.05,0.68,0.71,0.32,0.29,0.61,0.49,,,0.00,0.05,0.64,0.65,0.83,0.85,0.87,0.87,0.41,0.47,0.43,0.43,0.40,0.39,0.94,0.93,0.78,0.78,0.71,0.69,0.80,0.78,0.68,0.67,0.86,0.89,,0.42,0.46,0.37,0.39,0.61,0.64,0.61,0.60,0.55,0.63,0.58,0.61,0.59,0.66,0.34,0.45,0.11,0.19,0.53,0.37,0.16,0.24,0.07,0.05,0.07,0.05,0.07,0.20,0.09,0.10,0.76,0.79,0.12,0.07,0.05,0.07,0.08,0.06,0.74,0.79,0.52,0.41,0.29,0.35,0.12,0.18,0.05,0.03,0.02,0.03,0.76,0.71,0.24,0.29,0.58,0.65,,,0.02,0.00,0.66,0.70,0.84,0.88,0.85,0.89,0.42,0.45,0.39,0.44,0.37,0.36,0.92,0.97,0.77,0.82,0.69,0.73,0.81,0.79,0.70,0.66,0.86,0.93,
25,China,CHN,EAP,UM,East Asia & Pacific,Upper middle ,0.43,0.52,0.53,0.21,0.46,87,33,56,102,82,12,8,9,15,10,28,5,17,31,26,,0.54,0.48,0.41,0.23,0.56,0.47,0.14,0.02,0.40,0.40,0.00,0.05,0.00,0.15,0.47,0.22,0.14,0.17,1.00,0.21,0.63,0.16,0.00,0.00,0.80,0.20,0.89,,0.00,0.09,0.17,0.16,0.48,0.30,0.28,0.21,0.00,0.00,0.00,0.08,0.02,,,,0.54,0.55,0.49,0.48,0.42,0.41,0.23,0.22,0.56,0.56,0.43,0.51,0.15,0.14,0.02,0.02,0.13,0.58,0.50,0.33,0.00,0.00,0.13,0.00,0.00,0.00,0.25,0.08,0.48,0.46,0.21,0.24,0.14,0.13,0.18,0.17,1.00,1.00,0.14,0.25,0.86,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.75,0.83,0.25,0.17,1.00,0.83,,,0.00,0.00,0.07,0.10,0.15,0.19,0.14,0.18,0.49,0.47,0.29,0.32,0.28,0.28,0.18,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.02,0.03,,,,0.54,0.58,0.48,0.49,0.40,0.40,0.22,0.20,0.56,0.57,0.46,0.48,0.15,0.14,0.02,0.03,0.54,0.00,0.38,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.40,0.45,0.48,0.22,0.25,0.16,0.09,0.16,0.19,1.00,1.00,0.23,0.25,0.62,0.75,0.15,0.00,0.00,0.00,0.00,0.00,0.92,0.60,0.08,0.40,1.00,0.75,,,0.00,0.00,0.08,0.11,0.18,0.13,0.17,0.15,0.47,0.51,0.30,0.31,0.29,0.25,0.21,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.02,0.02,
26,Colombia,COL,LAC,UM,Latin America & Caribbean,Upper middle ,0.56,0.42,0.56,0.58,0.69,39,71,44,59,23,5,11,7,12,4,7,23,9,18,2,0.42,0.31,0.49,,0.42,,0.44,0.19,0.11,0.27,0.21,0.07,0.27,0.17,0.00,0.62,0.16,0.09,0.13,0.56,0.26,0.35,0.20,0.09,0.09,0.44,0.56,,,0.05,0.69,0.71,0.79,0.31,0.40,0.33,0.80,0.68,0.49,0.57,0.48,0.74,,0.41,0.42,0.31,0.30,0.49,0.49,,,0.44,0.41,,,0.45,0.44,0.22,0.17,0.14,0.09,0.30,0.24,0.26,0.13,0.09,0.05,0.21,0.37,0.14,0.21,0.00,0.00,0.61,0.63,0.15,0.17,0.11,0.08,0.14,0.12,0.54,0.59,0.34,0.14,0.25,0.50,0.25,0.14,0.06,0.14,0.09,0.09,0.34,0.59,0.66,0.41,,,,,0.06,0.04,0.68,0.70,0.70,0.71,0.80,0.78,0.28,0.33,0.38,0.42,0.31,0.34,0.81,0.78,0.68,0.69,0.51,0.47,0.62,0.53,0.45,0.50,0.74,0.73,,0.40,0.41,0.29,0.33,0.48,0.46,,,0.40,0.47,,,0.43,0.44,0.16,0.25,0.08,0.20,0.26,0.27,0.19,0.24,0.10,0.05,0.36,0.16,0.10,0.27,0.00,0.00,0.60,0.65,0.16,0.17,0.10,0.06,0.14,0.12,0.51,0.61,0.22,0.27,0.35,0.41,0.26,0.14,0.04,0.09,0.13,0.09,0.39,0.45,0.61,0.55,,,,,0.04,0.05,0.69,0.67,0.71,0.72,0.80,0.78,0.31,0.29,0.39,0.42,0.31,0.32,0.80,0.81,0.70,0.67,0.51,0.48,0.59,0.54,0.48,0.50,0.71,0.78,
27,Costa Rica,CRI,LAC,UM,Latin America & Caribbean,Upper middle ,0.68,0.55,0.64,0.76,0.76,19,25,24,17,11,2,1,2,2,1,1,2,2,1,1,0.49,0.35,0.57,0.58,0.59,0.54,0.67,0.35,0.22,0.27,0.13,0.07,0.20,0.22,0.10,0.59,0.17,0.09,0.14,0.73,0.50,0.26,0.11,0.05,0.09,0.65,0.35,0.61,,0.02,0.89,0.88,0.86,0.42,0.45,0.36,0.94,0.83,0.78,0.84,0.74,0.86,,0.45,0.52,0.35,0.35,0.59,0.54,0.58,0.57,0.61,0.58,0.56,0.52,0.66,0.68,0.41,0.30,0.24,0.20,0.30,0.24,0.14,0.13,0.08,0.06,0.19,0.22,0.20,0.24,0.10,0.10,0.62,0.55,0.12,0.23,0.09,0.10,0.17,0.12,0.73,0.74,0.48,0.51,0.24,0.29,0.11,0.10,0.04,0.06,0.12,0.04,0.64,0.66,0.36,0.34,0.61,0.61,,,0.01,0.03,0.88,0.90,0.87,0.89,0.89,0.83,0.40,0.44,0.43,0.46,0.34,0.37,0.93,0.94,0.83,0.84,0.83,0.73,0.84,0.84,0.77,0.72,0.86,0.85,,0.53,0.46,0.36,0.33,0.56,0.59,0.61,0.58,0.62,0.61,0.55,0.55,0.68,0.65,0.27,0.46,0.16,0.29,0.30,0.29,0.13,0.17,0.04,0.10,0.25,0.17,0.15,0.18,0.13,0.09,0.52,0.67,0.23,0.10,0.10,0.10,0.16,0.12,0.70,0.75,0.48,0.46,0.19,0.28,0.13,0.13,0.06,0.06,0.15,0.08,0.73,0.61,0.27,0.39,0.60,0.61,,,0.02,0.03,0.88,0.91,0.87,0.90,0.80,0.93,0.43,0.39,0.48,0.42,0.37,0.33,0.92,0.96,0.81,0.86,0.77,0.78,0.81,0.85,0.73,0.73,0.84,0.88,
28,Cote d'Ivoire,CIV,AFR,LM,Sub-Saharan Africa,Lower middle ,0.40,0.26,0.38,0.56,0.40,93,100,98,68,90,14,16,17,11,16,23,25,23,14,20,0.38,0.33,0.68,0.61,0.60,0.59,0.62,0.07,0.05,0.24,0.18,0.36,0.09,0.09,0.03,0.52,0.27,0.14,0.07,0.22,0.10,0.40,0.20,0.30,0.00,0.20,0.80,0.35,,0.40,0.68,0.75,0.84,0.42,0.32,0.28,0.83,0.56,0.46,0.50,0.43,0.77,,0.40,0.37,0.32,0.34,0.67,0.70,0.59,0.64,0.59,0.60,0.59,0.59,0.60,0.63,0.09,0.05,0.05,0.04,0.28,0.20,0.22,0.13,0.28,0.47,0.06,0.13,0.11,0.07,0.06,0.00,0.49,0.56,0.29,0.25,0.14,0.14,0.09,0.05,0.20,0.25,0.00,0.20,0.40,0.40,0.20,0.20,0.40,0.20,0.00,0.00,0.20,0.20,0.80,0.80,0.29,0.42,,,0.80,0.00,0.68,0.68,0.76,0.74,0.82,0.86,0.43,0.42,0.33,0.31,0.29,0.27,0.81,0.84,0.56,0.56,0.46,0.46,0.52,0.48,0.43,0.44,0.75,0.79,,0.36,0.33,0.31,0.31,0.53,0.75,0.46,0.66,0.44,0.63,0.46,0.62,0.49,0.67,0.07,0.10,0.04,0.08,0.18,0.29,0.18,0.19,0.36,0.33,0.18,0.05,0.09,0.10,0.00,0.05,0.50,0.52,0.24,0.29,0.16,0.13,0.09,0.06,0.24,0.23,0.25,0.00,0.25,0.50,0.25,0.17,0.25,0.33,0.00,0.00,0.25,0.17,0.75,0.83,0.25,0.40,,,0.75,0.17,0.57,0.72,0.66,0.78,0.79,0.87,0.37,0.40,0.31,0.31,0.29,0.25,0.77,0.84,0.51,0.60,0.42,0.48,0.44,0.51,0.39,0.42,0.71,0.77,
